date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:16:23	98673/98673	---M--	200	added ('OK')	application/font-woff	etag:%2218171-596bbc4103300%22	https://koki.dexignzone.com/xhtml/icons/line-awesome/fonts/la-brands-400.woff	C:/Users/SV/Desktop/source/AdminLayout/koki.dexignzone.com/xhtml/icons/line-awesome/fonts/la-brands-400.woff	(from https://koki.dexignzone.com/xhtml/icons/line-awesome/css/line-awesome.min.css)
17:16:23	33916/33916	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22847c-596bbc4103300%22	https://koki.dexignzone.com/xhtml/icons/line-awesome/fonts/la-regular-400.eot	C:/Users/SV/Desktop/source/AdminLayout/koki.dexignzone.com/xhtml/icons/line-awesome/fonts/la-regular-400.eot	(from https://koki.dexignzone.com/xhtml/icons/line-awesome/css/line-awesome.min.css)
17:16:23	156072/156072	---M--	200	added ('OK')	application/x-font-ttf	etag:%22261a8-596bbc4103300%22	https://koki.dexignzone.com/xhtml/icons/line-awesome/fonts/la-brands-400.ttf	C:/Users/SV/Desktop/source/AdminLayout/koki.dexignzone.com/xhtml/icons/line-awesome/fonts/la-brands-400.ttf	(from https://koki.dexignzone.com/xhtml/icons/line-awesome/css/line-awesome.min.css)
17:16:24	33916/33916	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22847c-596bbc4103300%22	https://koki.dexignzone.com/xhtml/icons/line-awesome/fonts/la-regular-400.eot?	C:/Users/SV/Desktop/source/AdminLayout/koki.dexignzone.com/xhtml/icons/line-awesome/fonts/la-regular-400d41d.eot	(from https://koki.dexignzone.com/xhtml/icons/line-awesome/css/line-awesome.min.css)
17:16:24	12900/12900	---M--	200	added ('OK')	application/font-woff2	etag:%223264-596bbc4103300%22	https://koki.dexignzone.com/xhtml/icons/line-awesome/fonts/la-regular-400.woff2	C:/Users/SV/Desktop/source/AdminLayout/koki.dexignzone.com/xhtml/icons/line-awesome/fonts/la-regular-400.woff2	(from https://koki.dexignzone.com/xhtml/icons/line-awesome/css/line-awesome.min.css)
17:16:24	15489/15489	---M--	200	added ('OK')	application/font-woff	etag:%223c81-596bbc4103300%22	https://koki.dexignzone.com/xhtml/icons/line-awesome/fonts/la-regular-400.woff	C:/Users/SV/Desktop/source/AdminLayout/koki.dexignzone.com/xhtml/icons/line-awesome/fonts/la-regular-400.woff	(from https://koki.dexignzone.com/xhtml/icons/line-awesome/css/line-awesome.min.css)
17:16:24	33724/33724	---M--	200	added ('OK')	application/x-font-ttf	etag:%2283bc-596bbc4103300%22	https://koki.dexignzone.com/xhtml/icons/line-awesome/fonts/la-regular-400.ttf	C:/Users/SV/Desktop/source/AdminLayout/koki.dexignzone.com/xhtml/icons/line-awesome/fonts/la-regular-400.ttf	(from https://koki.dexignzone.com/xhtml/icons/line-awesome/css/line-awesome.min.css)
17:16:26	113535/113535	---M--	200	added ('OK')	image/svg+xml	etag:%221bb7f-596bbc4103300%22	https://koki.dexignzone.com/xhtml/icons/line-awesome/fonts/la-regular-400.svg	C:/Users/SV/Desktop/source/AdminLayout/koki.dexignzone.com/xhtml/icons/line-awesome/fonts/la-regular-400.svg	(from https://koki.dexignzone.com/xhtml/icons/line-awesome/css/line-awesome.min.css)
17:16:26	226312/226312	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2237408-596bbc4103300%22	https://koki.dexignzone.com/xhtml/icons/line-awesome/fonts/la-solid-900.eot	C:/Users/SV/Desktop/source/AdminLayout/koki.dexignzone.com/xhtml/icons/line-awesome/fonts/la-solid-900.eot	(from https://koki.dexignzone.com/xhtml/icons/line-awesome/css/line-awesome.min.css)
17:16:27	96752/96752	---M--	200	added ('OK')	application/font-woff2	etag:%22179f0-596bbc4103300%22	https://koki.dexignzone.com/xhtml/icons/line-awesome/fonts/la-solid-900.woff2	C:/Users/SV/Desktop/source/AdminLayout/koki.dexignzone.com/xhtml/icons/line-awesome/fonts/la-solid-900.woff2	(from https://koki.dexignzone.com/xhtml/icons/line-awesome/css/line-awesome.min.css)
17:16:28	226312/226312	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2237408-596bbc4103300%22	https://koki.dexignzone.com/xhtml/icons/line-awesome/fonts/la-solid-900.eot?	C:/Users/SV/Desktop/source/AdminLayout/koki.dexignzone.com/xhtml/icons/line-awesome/fonts/la-solid-900d41d.eot	(from https://koki.dexignzone.com/xhtml/icons/line-awesome/css/line-awesome.min.css)
17:16:28	125421/125421	---M--	200	added ('OK')	application/font-woff	etag:%221e9ed-596bbc4103300%22	https://koki.dexignzone.com/xhtml/icons/line-awesome/fonts/la-solid-900.woff	C:/Users/SV/Desktop/source/AdminLayout/koki.dexignzone.com/xhtml/icons/line-awesome/fonts/la-solid-900.woff	(from https://koki.dexignzone.com/xhtml/icons/line-awesome/css/line-awesome.min.css)
